text,E,N,A,C,O
العمل يرهقني لكنني اجني ثمارا كثيرة احس اني مستقبل زاهر مهنيا شخصيا لدي رفيق درب استطيع اتكئ كثفيه اجده دائما مساندا داعما لافكار المهنية المحيط اعيش يدعم افكاري بكل ثقة,1,0,1,1,1
نفسي كانسانة متفتحة لتجارب جديدة لكنني امل بسرعة الدراسة علمتني طورت شخصيتي بشكل كبير اميل الى التعرب باناس جدد مشاركة يومياتي الجميع رغم انني احب العزلة احيانا,1,1,1,1,1
دراستي تاخذ حيزا كبيرا قتي اهتماماتي بالموازنة الدراسة احب الاعمال التطوعية الاجتماعية اسعى دائما لمساعدة الاخرين احب البسمة الوجوه بدون استثناء لان يشعرني بالسعادة,1,1,1,1,1
اعاني مرض اضطراب الهلع يؤثر عملي دراستي حياتي الشخصية اتابع اخصائي نفسي لكني اشعر بتحسن كبير دائمة الخوف التوتر القلق ابسط الامور ثقتي بنفسي ضعيفة جدا,0,1,0,0,0
الكثير المسؤوليات الملقاة عاتقي الدراسة العمل اجباتي كام زوجة اهتماماتي بنفسي احب احاول اخلق التوازن حياتي قدر استطيع اوفق احيانا اخفق اخرى الحمد لله استمر اثابر اعلم الله يضيع اجر احسن عملا علي فقط العمل الاستعانة بالله الصبر مصائب الحياة الله التوفيق,1,1,1,0,1
لقد كنت شخصا مباريات بالدراسة المستقبل كانت سنة البكالوريا نقطة حياتي فهمت قيمة الدراسة المثابرة قيمة وضع اهداف محاولة الوصول اليها باي شكل الاشكال فهاذا التفكير مكاني تقدير نفسي اكثر التعرف عليها اكثر انني عرفت مكامن قوتي تقبلت نقاط ضعفي,1,1,1,1,1
بقدر الكد تكتسب المعالي طلب العلا سهر الليالي طلب العلا بغير كد اضاع العمر طلب المحال الدكتوراه حلم بالنسبة يجب الصبر لصعوبات يجب المثابرة لنيلها تحقيق الامتياز الله خلق عقل الانسان حدود يجب استغلاله البحث اختراع شيء يفيد البشرية اتوكل الله اصلي صلاة الاستخارة الله يختار الطريق خير يعينني يسخر الناس لمساعدتي,0,0,1,0,0
تميزت دراستي الجامعية بمجموعة الدكريات الاحدات اثرت بشكل ايجابي علي طريقة تفكيري علمتني ارتب اولوياتي اتعامل المصاعب مكنتني معرفة المشاكل يمر الطالب الجامعي الشيء الدي جعلني كاستادة جامعية اتعامل هدا الطالب الاخد بعين الاعتبار المشاكل,0,0,1,1,0
تربية الابناء حضارة الغرب تعاليم الاسلام تحد كبير يواجه ابوين يفكران مستقبل ابناءهم بلاد الغربة نربي ابناءنا المجتمع كله متربص بالاسلام المسلمين ليملي عليهم يعيشون دينهم هوى الدولة العلمانية تنبت الفتيات العفة الحياء القوانين الوضعية تجرم لبس الحجاب المدارس تربيهم الدفاع دينهم حرية التعبير متاحة لمن يتكلم باسم الاسلام حصار الاعلام القوانين السياسية نظرات المجتمع المشبع المسير يمليه اصحاب القرار يولد الاجيال القادمة نفورا الدين سيكون سببا بغض الناس عدم قبولهم المجتمع يولد كراهية حقدا تدفعهم للتطرف الارهاب صنف الى الى الخاصة اصطفاهم الله هدى قلوبهم للخير بهداه انار بصائرهم بنوره فلم ينحازوا لفتن الدنيا زخارفها سعيا لارضاء قرناءهم الغربيين ينحازوا لظلامية الحاقدين يفسرون ايات الله هواهم ليبرروا القتل الارهاب الصنف غاية غيورين دين ابناءهم صلاحهم راحة يبلغوا بر الامان يحموهم براثن الشيطان فاللهم نسالك صلاح النية الذرية اجعلني مقيم الصلاة ذريتي ربنا تقبل دعاء,0,1,0,0,0
طالبة دكتورة اشعر بتوتر كبير رغم اني الحمد الله السنة التالثة نشرت مقالا اني اشعر يقلق مستمر ادرس حبا العلم العمل اصبح استاذة لانها الافضل للمراة اطلب العلم العلم اريد عمل اريد العلم اريد احبك خولة,1,0,1,1,1
